Id,Label,name,Degree
n363,Christopher Stevenson,Christopher Stevenson,22
n364,Cory Hogaboam,Cory Hogaboam,17
n365,David Budd,David Budd,22
n366,Gaurav Tyagi,Gaurav Tyagi,17
n367,Jeremy Deguzman,Jeremy Deguzman,22
n368,Jonathan Phillips,Jonathan Phillips,17
n369,Julie DeMartino,Julie DeMartino,17
n370,Maria Fuentes,Maria Fuentes,22
n371,Qi Luo,Qi Luo,17
n372,Rosario Garrido,Rosario Garrido,17
n373,Ruoqi Peng,Ruoqi Peng,22
n374,Subramanium Apparsundaram,Subramanium Apparsundaram,22
n375,Xiaoyan Tang,Xiaoyan Tang,22
n376,Giuseppina Caretti,Giuseppina Caretti,4
n377,James Ryall,James Ryall,4
n378,Raffaella Fittipaldi,Raffaella Fittipaldi,4
n379,Valentina Proserpio,Valentina Proserpio,4
n380,Angela Gibbs,Angela Gibbs,10
n381,Beth Wilmot,Beth Wilmot,10
n382,Daniel Bottomly,Daniel Bottomly,10
n383,Ilsa Coleman,Ilsa Coleman,10
n384,Jacob Schwartzman,Jacob Schwartzman,10
n385,Joshi Alumkal,Joshi Alumkal,10
n386,Lina Gao,Lina Gao,10
n387,Peter Nelson,Peter Nelson,10
n388,Richard Kleinschmidt,Richard Kleinschmidt,10
n389,Robert Lisac,Robert Lisac,10
n390,B Huang,B Huang,7
n391,H Zhang,H Zhang,7
n392,J Bradner,J Bradner,19
n393,J Qi,J Qi,7
n394,L-F Chen,L-F Chen,7
n395,S Nair,S Nair,7
n396,X Wu,X Wu,7
n397,Anup Dey,Anup Dey,8
n398,Keiko Ozato,Keiko Ozato,31
n399,Matthew Smith,Matthew Smith,8
n400,Maxime Debrosse,Maxime Debrosse,8
n401,Mira Patel,Mira Patel,11
n402,Naoyuki Sarai,Naoyuki Sarai,11
n403,Tom Heightman,Tom Heightman,37
n404,Tomohiko Tamura,Tomohiko Tamura,11
n405,Ashley Lau,Ashley Lau,8
n406,David Orlando,David Orlando,8
n407,Heather Hoke,Heather Hoke,8
n408,Jakob Lovén,Jakob Lovén,8
n409,A Huang,A Huang,9
n410,E Sotomayor,E Sotomayor,9
n411,J Tao,J Tao,9
n412,J Wang,J Wang,9
n413,S Chen-Kiang,S Chen-Kiang,9
n414,T Lwin,T Lwin,9
n415,V Marquez,V Marquez,9
n416,W Dalton,W Dalton,9
n417,X Zhang,X Zhang,9
n418,Alexandre Puissant,Alexandre Puissant,16
n419,Christopher Bassil,Christopher Bassil,16
n420,Cyril Benes,Cyril Benes,16
n421,Erin Nekritz,Erin Nekritz,16
n422,Gabriela Alexe,Gabriela Alexe,16
n423,Matthew Garnett,Matthew Garnett,16
n424,Patricia Greninger,Patricia Greninger,16
n425,Stacey Frumm,Stacey Frumm,16
n426,Ultan McDermott,Ultan McDermott,16
n427,William Gustafson,William Gustafson,16
n428,Jialiang Wang,Jialiang Wang,9
n429,Kaihua Lu,Kaihua Lu,9
n430,Larry Pierce,Larry Pierce,9
n431,Reid Thompson,Reid Thompson,9
n432,Stefan Knapp,Stefan Knapp,88
n433,Susanne Muller,Susanne Muller,9
n434,Xiang Lu,Xiang Lu,9
n435,Yuanying Gong,Yuanying Gong,9
n436,Yufang Ma,Yufang Ma,9
n437,Neha Pancholi,Neha Pancholi,4
n438,Daniela Boehm,Daniela Boehm,15
n439,Eric Verdin,Eric Verdin,14
n440,Katherine Aull,Katherine Aull,14
n441,Laura Martins,Laura Martins,14
n442,Leor Weinberger,Leor Weinberger,14
n443,Melanie Ott,Melanie Ott,15
n444,Ming-Ming Zhou,Ming-Ming Zhou,63
n445,Pao-Chen Li,Pao-Chen Li,14
n446,Robert Siliciano,Robert Siliciano,18
n447,Roy Dar,Roy Dar,14
n448,Sebastian Schroeder,Sebastian Schroeder,14
n449,Sifei Xing,Sifei Xing,14
n450,Vicente Planelles,Vicente Planelles,14
n451,Jia Guo,Jia Guo,3
n452,Qiang Zhou,Qiang Zhou,9
n453,Yuntao Wu,Yuntao Wu,3
n454,Anthony Tumber,Anthony Tumber,34
n455,Catherine Rogers,Catherine Rogers,26
n456,Christopher Schofield,Christopher Schofield,19
n457,Christopher Wells,Christopher Wells,49
n458,Clarence Yapp,Clarence Yapp,24
n459,Cynthia Tallant,Cynthia Tallant,19
n460,Dean Singleton,Dean Singleton,19
n461,Duncan Hay,Duncan Hay,26
n462,Mark Bunnage,Mark Bunnage,28
n463,Octovia Monteiro,Octovia Monteiro,24
n464,Oleg Fedorov,Oleg Fedorov,71
n465,Panagis Filippakopoulos,Panagis Filippakopoulos,65
n466,Paul Brennan,Paul Brennan,52
n467,Sarah Martin,Sarah Martin,56
n468,Sarah Picaud,Sarah Picaud,65
n469,Stuart Conway,Stuart Conway,37
n470,Aidong Han,Aidong Han,14
n471,Bin Yu,Bin Yu,14
n472,Chao Zhou,Chao Zhou,14
n473,Feng Ding,Feng Ding,14
n474,Huiping Wang,Huiping Wang,14
n475,Jiangfang Liu,Jiangfang Liu,14
n476,Kai Liu,Kai Liu,14
n477,Nanping Ai,Nanping Ai,14
n478,Ruichuan Chen,Ruichuan Chen,17
n479,Runzhong Liu,Runzhong Liu,14
n480,Xiangming Hu,Xiangming Hu,14
n481,Xiaodong Lu,Xiaodong Lu,14
n482,Yannan Li,Yannan Li,14
n483,Yu Wang,Yu Wang,14
n484,Branka Mijatov,Branka Mijatov,12
n485,Carleen Cullinane,Carleen Cullinane,12
n486,Dilini Gunatilake,Dilini Gunatilake,12
n487,Grant McArthur,Grant McArthur,32
n488,Gulietta Pupo,Gulietta Pupo,12
n489,Helen Rizos,Helen Rizos,12
n490,Jessamy Tiffen,Jessamy Tiffen,12
n491,Kavitha Gowrishankar,Kavitha Gowrishankar,12
n492,Lei Jin,Lei Jin,12
n493,Peter Hersey,Peter Hersey,12
n494,Peter Tummino,Peter Tummino,54
n495,Stuart Gallagher,Stuart Gallagher,12
n496,Alexander Taylor,Alexander Taylor,23
n497,Alexandre Côté,Alexandre Côté,23
n498,Barbara Bryant,Barbara Bryant,28
n499,Brian Albrecht,Brian Albrecht,23
